process_id,state_name,state_code_lgd,district_name,district_code_lgd,type_of_project,ngo_name,ngo_address,ngo_unique_id,project_id,project_address,scheme_project_name,scheme_project_id,form_type,acknowledgement_number,financial_year,applied_date,male_count,female_count,others_count
61388,RAJASTHAN,8,GANGANAGAR,100,c,brigt Future Inititute Santha  ,"185,A block, Near parnami Mandir, 335041",RJ/2012/0050727,SC/RJ/GNG/01639,"1148-51, Ground Floor, building, Near Telephone Exchange, Ward No. 3, Telephone Exchange Road, Padampur",Non-Residential School,2,SC,RJ/RJ/00002191/SC/05-22/55560,2022-23,5/15/2022,,,
61503,UTTAR PRADESH,9,FARRUKHABAD,141,c,SATGURU JAN KALYAN VIKAS SAMITI,"VILL.DWARIKAPURI UGARPUR POST PIPARGAON DIST FARRUKHABAD PINCODE.209625, Pin-209625",UP/2022/0308555,SC/UP/FKB/07713,"10, UGAPUR, FARRUKHABAD, FARRUKHABAD, DWARIKA PURI UGARPUR",Residential School,1,SC,UP/UP/00025964/SC/05-22/55633,2022-23,5/6/2022,,,
61585,ODISHA,21,KHORDHA,362,c,Nehru Seva Sangh,"At/Po- banpur
Dist-Khordha
Odisha, 752031",OR/2009/0001803,SC/OR/KHD/01397,"H.No.27, Ground and 1st Floor, Gobardhan Campus, Opposite Government High School Banpur 2, Bodhapur Ward No. 14, Tahasil Road, Banpur",Residential School,1,SC,OR/OR/00003233/SC/05-22/55684,2022-23,5/15/2022,,,
61593,RAJASTHAN,8,KOTA,109,c,SHRADHALAYA ASHRAM SAMITI,"SURAJPOL, KOTA (RAJASTHAN) PINCODE-324006, Pin-324005",RJ/2016/0104939,SC/RJ/KOT/00786,"IPC-17, 1, 1, RIICO RANPUR, RIICO RANPUR, RIICO RANPUR, KOTA",Residential School,1,SC,RJ/RJ/00005878/SC/05-22/55692,2022-23,5/14/2022,,,
61667,RAJASTHAN,8,BHARATPUR,91,c,NIRASHRIT MAHILA BAL VIKAS GRAMODHYOG SHIKSHA SAMITI,"Pai Bagh, Bharatpur, Rajasthan-321001",RJ/2012/0050250,SC/RJ/BTR/00634,"271, Ground Floor, Building- Ujala Public School, Chandpol Gate Road, Adarsh Colony, Pai Bagh, Bharatpur",Non-Residential School,2,SC,RJ/RJ/00005666/SC/05-22/55743,2022-23,5/6/2022,,,
61702,MAHARASHTRA,27,SATARA,494,c,APANG MAHILA MANDAL AMARAVATI,"REGD OFFICE 8 JAY VIJAY HOUSING SOCIETY SHAHUPURI SATARA415002, Pin-415002",MH/2016/0104438,SC/MH/SAT/00697,"Sur.110/02, Entire Building, Near Andhari BSNL Tower, Andhari Umbri Road (Z.P), Andhari (Phalani)",Residential School,1,SC,MH/MH/00002261/SC/05-22/55767,2022-23,5/10/2022,,,
61719,KARNATAKA,29,VIJAYAPURA,530,c,JNANODAYA SHIKSHANA SAMASTE,"Shri Sidramappa Sidagondappa Biradar Chairman House, Hanjagi Taluka: Indi,, Pin-586211",KA/2021/0285972,SC/KA/VJP/06024,"NIMBAL K D, GROUND FLOOR, JNANODAYA SHIKSHANA SAMASTE, STREET, NIMBAL K D",Hostel,3,SC,KA/KA/00024877/SC/05-22/55784,2022-23,5/6/2022,,,
61754,MAHARASHTRA,27,DHULE,474,c,UjwalRuralDevelopmentSoceity,UjwalEducationalComplexJadhavNagarChirneroadShindkhedaTalShindkhedaDistDhule,MH/2015/0092617,SC/MH/DHU/00439,"292/1/1/2, 1st floor, Ujwal Educational Complex Jadhav Nagar, Chirne Road, Shindkhede",Hostel,3,SC,MH/MH/00004853/SC/05-22/55801,2022-23,5/12/2022,,,
61756,KARNATAKA,29,GULBARGA,538,c,BHAGYODAYA VIDAYA VARDHAK SANGH CHINCHOLI,BHAGYODAYA VIDYA VARDHAK SANGHA CHINCHOLI(CHANDAPUR)TALUKA CHINCHOLI DISTRICT GULBARGA PIN 585307,KA/2017/0118088,SC/KA/KLB/01626,"Building, Ground floor, Building, Near Banjara Bhavan, Vijaya nagar , Police Quarters Rood, Town",Residential School,1,SC,KA/KA/00004725/SC/05-22/55803,2022-23,5/8/2022,,,
61789,KARNATAKA,29,VIJAYAPURA,530,c,JNANODAYA SHIKSHANA SAMASTE,"Shri Sidramappa Sidagondappa Biradar Chairman House, Hanjagi Taluka: Indi,, Pin-586211",KA/2021/0285972,SC/KA/VJP/07941,"Hanjagi, Hanjagi, Hanjagi, Hanjagi, Indi",Hostel,3,SC,KA/KA/00024877/SC/05-22/55827,2022-23,5/6/2022,,,
61867,UTTAR PRADESH,9,CHITRAKOOT,136,c,Deendayal Research Institute,"Deendayal Research Institute, 7-E, Swami Ramtirth Nagar, Rani Jhansi Marg, Jhandewala Extn., New Delhi 110055",DL/2009/0007463,SC/UP/CHK/01236,"866, second, Tulsi krishi viyan kendra , kariwi to rajapur, Pahari",Residential School,1,SC,UP/DL/00005795/SC/05-22/55852,2022-23,5/13/2022,,,
61910,KARNATAKA,29,VIJAYAPURA,530,c,JNANODAYA SHIKSHANA SAMASTE,"Shri Sidramappa Sidagondappa Biradar Chairman House, Hanjagi Taluka: Indi,, Pin-586211",KA/2021/0285972,SC/KA/VJP/07986,"Hanjagi, House, Hanjagi, Hanjagi, Hanjagi, INDI",Non-Residential School,2,SC,KA/KA/00024877/SC/05-22/55869,2022-23,5/6/2022,,,
61912,RAJASTHAN,8,DAUSA,97,c,Mahaveer Bal ShikshaAnd vikash Samiti,"Hodayli walo ka mekan, near Saini Avm jagir Bandikui, dist- Dausa (rajasthan), Pin-303313",RJ/2016/0108313,SC/RJ/DAS/01341,"8, 0, 0, bandikui, ward 8 syalawas bandikui, ward 8 syalawas bandikui, bandikui",Non-Residential School,2,SC,RJ/RJ/00004924/SC/05-22/55871,2022-23,5/7/2022,,,
61927,MAHARASHTRA,27,NANDED,485,c,Shubham Shikshan Prasarak Mandal,charity Commissioner Nanded 431602 Maharashtra,MH/2016/0108851,SC/MH/NAN/00764,"At Alandi, Post Alandi, Near Pond, Alandi, Biloli",Residential School,1,SC,MH/MH/00009059/SC/05-22/55877,2022-23,5/9/2022,,,
61932,TAMIL NADU,33,MADURAI,578,c,harijan sevak sangh,"Harijan Sevak Sangh,gandhi ashram,kingsway camp,Delhi-9",DL/2016/0104728,SC/TN/MDR/02397,"12, Ground, Building , Opp to CTO Office , Vinayaga Nagar , Dr. Thangarajan Road, MADURAI",Residential School,1,SC,TN/DL/00003689/SC/05-22/55882,2022-23,5/14/2022,,,
61963,UTTAR PRADESH,9,AMETHI,640,c,Amethi Mahila Avom Bal Kalyan Samiti,"Sarvanpur, Dhammaur Road , Amethi ,Sultanpur, Pincode -227405, Pin-227405",UP/2010/0037803,SC/UP/AME/00507,"MASKIC, GROUND FLOOR, NEAR BANK OF BARODA BRANCH  GORKHAPUR, BISESARGANJ TO KALIKAN DHAM ROAD, GORKHAPUR",Non-Residential School,2,SC,UP/UP/00013615/SC/05-22/55895,2022-23,5/9/2022,,,
62092,GUJARAT,24,AHMADABAD,438,c,harijan sevak sangh,"Harijan Sevak Sangh,gandhi ashram,kingsway camp,Delhi-9",DL/2016/0104728,SC/GJ/AHM/02059,"0531, Tenement, Parikshitlal Hostel, HSS, Parikshitlal Hostel, Ashram Road, Ahmedabad-380027, Ahmedabad",Hostel,3,SC,GJ/DL/00003689/SC/05-22/55930,2022-23,5/12/2022,,,
62110,DELHI,7,NORTH EAST   ,81,c,SAMAJ SEWA SANGH,"N-69/10, GALI NO.-16, BRAHM PURI,
 DELHI-110053",DL/2009/0002660,SC/DL/NED/00472,"N-69/10, Ground Floor, N-69/10, MAIN ROAD BRAHM PURI, BRAHM PURI, Gali No.16, Delhi",Non-Residential School,2,SC,DL/DL/00000346/SC/05-22/55935,2022-23,5/14/2022,,,
